OBJECTID,Precinct,VoteByMail,BallotGroup,SerialNumber,VBMVoters,PollVoters,Shape__Area,Shape__Length
34535,0050002G,1,496,6003,0,0,349358135.837891,93848.3345185928
34536,0050057B,1,496,6027,0,0,116049933.699219,57190.0970705357
34537,2700033B,1,841,6595,0,2,5669969.16601563,13186.40454231
34538,2700033A,1,841,6594,17,8,409130.044921875,4286.11606445485
34539,2700032A,1,841,6593,1,0,105829.004882813,2051.00773343144
34540,1450043A,0,879,193,1346,816,11738793.3691406,15194.2590278363
34541,1450118A,0,879,199,1279,782,8601573.7265625,11910.8785236143
34542,1450045A,1,879,6292,417,274,3750518.58984375,8188.27392690041
34543,1450152A,0,879,202,963,582,5909678.55761719,10382.4711616295
34544,1450003A,0,879,186,1405,696,8271387.37988281,11551.2654819921
34545,1450052A,0,879,195,1621,870,11103727.2929688,13711.9658674539
34546,1450046A,0,879,194,1751,990,13425841.0332031,16654.6537371688
34547,1450157B,0,879,203,1355,780,34753866.1064453,31755.7459382797
34548,1450022B,0,879,188,1614,895,33785026.2626953,39606.0106930223
34549,1450113A,0,879,198,1928,967,12327271.8193359,16480.5762679636
34550,1450091A,0,879,197,1531,828,8903638.25878906,18419.9490454999
34551,1450042A,0,879,192,1865,979,11561082.4345703,15904.7975337186
34552,1450007B,0,879,187,1669,989,9748046.02441406,13815.2975040103
34553,4800030A,1,700,6984,0,0,20210.0068359375,560.744474366509
34554,0050043A,1,501,6024,0,0,250550.530273438,2622.14840977208
34555,2930005A,1,633,6615,0,0,36154.49609375,756.439866612935
34556,6230052M,1,697,7324,5,3,14411165.71875,23524.1083638989
34557,3150064D,1,536,6692,75,16,971975.123046875,5052.68939036537
34558,3150001L,1,536,6682,0,0,298376.090820313,2591.49495634526
34559,6000014A,1,46,7235,0,0,21187215.8183594,26702.8222371359
34560,5700001A,1,258,7200,1146,399,83370889.3369141,48162.1303789073
34561,2930062A,1,644,6628,3,0,66548578.4736328,40265.9947464385
34562,2930062H,1,644,6631,5,0,835037.379882813,4954.58798700362
34563,1770001B,1,308,6341,143,62,2033392.41113281,6317.59233145653
34564,5000032A,0,308,700,2062,772,18075208.8583984,31612.0500439323
34565,5000066A,1,308,7023,1126,379,10578009.3291016,18470.7616046553
34566,1770072A,1,308,6377,798,347,10334731.7480469,22081.2536209598
34567,2630205B,1,686,6584,0,0,392346.452148438,6064.55821092129
34568,7800176F,0,686,1075,1262,641,6831652.95117188,10403.1492482551
34569,7800002C,0,686,1061,1426,677,9783255.13964844,13176.920539034
34570,7800024A,1,686,7539,1015,489,6987248.29980469,10678.6408620403
34571,7800053A,1,686,7542,814,413,5913261.98046875,10579.8073884164
34572,7800007A,0,686,1062,1035,501,9379539.69433594,13049.2888639953
34573,1900010B,1,38,6424,0,0,83638529.8623047,42818.6651245987
34574,4150050A,1,242,6895,1500,428,30285007.3271484,40891.3876592875
34575,4150042A,0,242,640,4211,897,9895036.47265625,35277.6418492379
34576,1940007A,1,765,6440,442,206,3535627.53222656,10154.6465534559
34577,4400005A,1,765,6896,1,0,2891478.28125,9526.41461467091
